"X1" "X2" "cl" "nbases" ".sample"
"91" -0.175441376326617 -1.33574091985811 "1" 107 1
"92" -0.225792125761513 -1.80245671895923 "1" 107 1
"93" -0.435735661910747 -1.5696808575071 "1" 107 1
"94" -0.259878310654133 -1.7936301002969 "1" 107 1
"95" -0.208989785775835 -1.9497173522482 "1" 107 1
"96" -0.613449770135296 -1.67001545379096 "1" 107 1
"97" 0.100612367319186 -1.24047643491954 "1" 107 1
"98" -0.131047125352933 -1.59497128549839 "1" 107 1
"99" -0.584551040921393 -1.20047639879595 "1" 107 1
"100" -0.445164262498645 -1.90704241742966 "1" 107 1
"101" 2.52831236846184 0.853672110198831 "2" 107 1
"102" 1.95304688145528 0.773151597834805 "2" 107 1
"103" 1.74759294794514 0.601543336370493 "2" 107 1
"104" 1.72077419391672 0.619759139004418 "2" 107 1
"105" 2.04411381247963 1.00379792337605 "2" 107 1
"106" 1.85005752095322 0.902521380549723 "2" 107 1
"107" 2.3617312415381 0.680400365117872 "2" 107 1
"108" 1.55598217237973 0.961508806013915 "2" 107 1
"109" 2.1614144550251 1.03794742374987 "2" 107 1
"110" 1.62102670502616 0.524785352203526 "2" 107 1
"111" -1.12695140000861 0.483204266528047 "3" 107 1
"112" -1.89421200907282 1.27504560521987 "3" 107 1
"113" -1.62281916850636 0.624721780189973 "3" 107 1
"114" -1.74009458368962 1.00102330666603 "3" 107 1
"115" -1.72013583649914 0.0207083450245895 "3" 107 1
"116" -1.8969147996067 0.84371101471209 "3" 107 1
"117" -1.32968285789535 0.424425778479203 "3" 107 1
"118" -1.95046705291802 0.963312872310513 "3" 107 1
"119" -1.7482725409307 1.79435002651199 "3" 107 1
"120" -1.53506495803567 0.674617509242243 "3" 107 1
"1" -1.49385434022968 1.23979793069036 "1" 99 2
"2" 1.20796828653907 0.461508056536077 "2" 99 2
"3" -1.61200853785741 0.505193470601763 "1" 99 2
"4" -1.44294378831464 0.676002519689303 "1" 99 2
"5" -1.46827249501724 0.812829264287479 "1" 99 2
"6" -1.53625380902226 0.757131354178007 "1" 99 2
