"x" "cl" "nbases" ".sample"
"1" -0.951283307748455 "1" 99 1
"2" -0.907063497747045 "1" 99 1
"3" -1.0179153921263 "1" 99 1
"4" -0.800320122121466 "1" 99 1
"5" -1.11838351050844 "1" 99 1
"6" -0.706720076206584 "1" 99 1
"7" -0.811269530061396 "1" 99 1
"8" -1.21469921254013 "1" 99 1
"9" -1.1673783063064 "1" 99 1
"10" -0.750163913959174 "1" 99 1
"11" -0.782352182505858 "1" 99 1
"12" -0.87475054226011 "1" 99 1
"13" -0.305462482548814 "1" 99 1
"14" -0.569201865904986 "1" 99 1
"15" -1.02614317582719 "1" 99 1
"16" 1.08748823275237 "2" 99 1
"17" 0.653108804484279 "2" 99 1
"18" 0.870071266480545 "2" 99 1
"19" 0.80702567791038 "2" 99 1
"20" 1.39649833725269 "2" 99 1
"21" 1.10940768827223 "2" 99 1
"22" 0.413407042108957 "2" 99 1
"23" 0.91264424968854 "2" 99 1
"24" 1.43225658796452 "2" 99 1
"25" 0.672998711192758 "2" 99 1
"26" 0.794802896305947 "2" 99 1
"27" 0.877273897643713 "2" 99 1
"28" 0.501582863032861 "2" 99 1
"29" 0.564918298881143 "2" 99 1
"30" 0.909622564401403 "2" 99 1
"31" -0.710239513989117 "1" 62 2
"32" -1.65338465189788 "1" 62 2
"33" -0.479139945459363 "1" 62 2
"34" -1.49495521615248 "1" 62 2
"35" -0.623507956330815 "1" 62 2
"36" -1.26868294749074 "1" 62 2
"37" -0.784759232992398 "1" 62 2
"38" -1.06143779636642 "1" 62 2
"39" -1.40831234550728 "1" 62 2
"40" -0.920027952726143 "1" 62 2
"41" -0.831566455816023 "1" 62 2
"42" -1.52485373725032 "1" 62 2
"43" -0.701496746318784 "1" 62 2
"44" -1.17673297499244 "1" 62 2
"45" -0.892259235094892 "1" 62 2
"46" 0.915424826954218 "2" 62 2
"47" 0.938645410308399 "2" 62 2
"48" 1.3736830375787 "2" 62 2
"49" 1.0370165646454 "2" 62 2
"50" 1.41080521849349 "2" 62 2
"51" 0.864326360215965 "2" 62 2
"52" 1.58579005626015 "2" 62 2
"53" 1.55165228059779 "2" 62 2
"54" 0.462627728646299 "2" 62 2
"55" 1.24545370908256 "2" 62 2
"56" 0.96235084228345 "2" 62 2
"57" 0.870685328900574 "2" 62 2
"58" 1.18112775810576 "2" 62 2
"59" 0.163107016210954 "2" 62 2
"60" 0.968660570101376 "2" 62 2
"61" 0.768838520713797 "2" 54 3
"62" 1.08579424544159 "2" 54 3
"63" 0.916640930193939 "2" 54 3
"64" 0.880054913008931 "2" 54 3
"65" 1.1650285751612 "2" 54 3
"66" 1.38001153699637 "2" 54 3
"67" 1.01340140323095 "2" 54 3
"68" 1.29328662372284 "2" 54 3
"69" 1.16966905343024 "2" 54 3
"70" 0.89203342968488 "2" 54 3
"71" 0.886024129381617 "2" 54 3
"72" 1.00224300429846 "2" 54 3
"73" 1.23370127360205 "2" 54 3
"74" 1.4953202704772 "2" 54 3
"75" 0.627715288990006 "2" 54 3
"76" -1.25238007089332 "1" 54 3
"77" -1.06374530097348 "1" 54 3
"78" -1.34874630001475 "1" 54 3
"79" -1.15353094180711 "1" 54 3
"80" -0.522758075193358 "1" 54 3
"81" -1.13841548171593 "1" 54 3
"82" -1.14919437410741 "1" 54 3
"83" -0.920687987699747 "1" 54 3
"84" -1.02531312784622 "1" 54 3
"85" -0.976012683924921 "1" 54 3
"86" -1.24734615179645 "1" 54 3
"87" -0.871822466133354 "1" 54 3
"88" -1.00448086846577 "1" 54 3
"89" -1.38831278320422 "1" 54 3
"90" -0.74701658455804 "1" 54 3
"91" -1.7050894560291 "1" 68 4
"92" -1.3475330871991 "1" 68 4
"93" -1.14610427217992 "1" 68 4
"94" -1.73273415809002 "1" 68 4
"95" -1.0267916246883 "1" 68 4
"96" -1.22014866440651 "1" 68 4
"97" -1.77945872735662 "1" 68 4
"98" -1.33807772754028 "1" 68 4
"99" -1.38581558430965 "1" 68 4
"100" -1.25555509271789 "1" 68 4
"101" -1.18237684702686 "1" 68 4
"102" -1.26641750946512 "1" 68 4
"103" -1.28227643036643 "1" 68 4
"104" -1.03194878249692 "1" 68 4
"105" -1.22758854188472 "1" 68 4
"106" 1.65949849149641 "2" 68 4
"107" 1.20343912081692 "2" 68 4
"108" 1.52147832325592 "2" 68 4
"109" 1.31768096710546 "2" 68 4
"110" 1.37824505655154 "2" 68 4
"111" 1.02025590549659 "2" 68 4
"112" 1.57291540184854 "2" 68 4
"113" 1.48317400306358 "2" 68 4
"114" 0.958655725021157 "2" 68 4
"115" 1.03613448329088 "2" 68 4
"116" 1.65235173681911 "2" 68 4
"117" 1.36460841781951 "2" 68 4
"118" 1.36211293460001 "2" 68 4
"119" 1.39325016939832 "2" 68 4
"120" 1.00411576917352 "2" 68 4
