"x" "cl" "nbases" ".sample"
-1.44014000233826 "1" 78 1
-1.4797873982777 "1" 78 1
-1.48381337560786 "1" 78 1
-1.4944421135213 "1" 78 1
-1.5132285851746 "1" 78 1
-1.57060430676742 "1" 78 1
-1.47267408383706 "1" 78 1
-1.39093205837941 "1" 78 1
-1.49197478563585 "1" 78 1
-1.54560801690743 "1" 78 1
-1.29227789385091 "1" 78 1
-1.424697882971 "1" 78 1
-1.28318813879641 "1" 78 1
-1.29693848431407 "1" 78 1
-1.38102958562791 "1" 78 1
1.58887280161813 "2" 78 1
1.63105087350101 "2" 78 1
1.4214013598597 "2" 78 1
1.53525456579935 "2" 78 1
1.33242054250191 "2" 78 1
1.63763962486186 "2" 78 1
1.39422019731218 "2" 78 1
1.30260529969324 "2" 78 1
1.45639810941626 "2" 78 1
1.22330520838118 "2" 78 1
1.33899976018974 "2" 78 1
1.5443081209291 "2" 78 1
1.42806838502551 "2" 78 1
1.38805935063917 "2" 78 1
1.33873251227882 "2" 78 1
-1.39618256255209 "1" 93 2
-1.52737000214302 "1" 93 2
-1.27335396073001 "1" 93 2
-1.33366603301428 "1" 93 2
-1.30063463283666 "1" 93 2
-1.15967855411557 "1" 93 2
-1.46712677175467 "1" 93 2
-1.43855894112185 "1" 93 2
-1.41398220999298 "1" 93 2
-1.22440792959949 "1" 93 2
-1.4100751804719 "1" 93 2
-1.39331375687909 "1" 93 2
-1.35263979444255 "1" 93 2
-1.62003081941453 "1" 93 2
-1.4019594379708 "1" 93 2
1.43976016250914 "2" 93 2
1.39821916598993 "2" 93 2
1.4567844844408 "2" 93 2
1.37249128481428 "2" 93 2
1.30602556160928 "2" 93 2
1.44693281608962 "2" 93 2
1.36974332165462 "2" 93 2
1.43546019827028 "2" 93 2
1.52524107995973 "2" 93 2
1.22619877608022 "2" 93 2
1.21907418153194 "2" 93 2
1.33235226900771 "2" 93 2
1.48821347820826 "2" 93 2
1.31705815543734 "2" 93 2
1.37942565143635 "2" 93 2
-1.51042261287477 "1" 78 3
-1.5178043595566 "1" 78 3
-1.42814070076281 "1" 78 3
-1.5879173459231 "1" 78 3
-1.4357880140729 "1" 78 3
-1.56954784954506 "1" 78 3
-1.30297283094338 "1" 78 3
-1.30262321827801 "1" 78 3
-1.18516153211044 "1" 78 3
-1.53802985363442 "1" 78 3
-1.64720356789086 "1" 78 3
-1.83221068271239 "1" 78 3
-1.66832794396401 "1" 78 3
-1.4944920520734 "1" 78 3
-1.6173375471488 "1" 78 3
1.56151019571765 "2" 78 3
1.66313023274593 "2" 78 3
1.55052651264055 "2" 78 3
1.73135745906032 "2" 78 3
1.53105344733448 "2" 78 3
1.31200533800362 "2" 78 3
1.69947942256223 "2" 78 3
1.31512771749062 "2" 78 3
1.45022173394819 "2" 78 3
1.5235953669402 "2" 78 3
1.43456799558941 "2" 78 3
1.6065408957417 "2" 78 3
1.44455453715259 "2" 78 3
1.52956228429202 "2" 78 3
1.28474697227144 "2" 78 3
-1.52230656958278 "1" 82 4
-1.4792424502599 "1" 82 4
-1.35151553672814 "1" 82 4
-1.4129497723403 "1" 82 4
-1.61664534477391 "1" 82 4
-1.48783135826539 "1" 82 4
-1.38707642881046 "1" 82 4
-1.68554355002238 "1" 82 4
-1.62604220654352 "1" 82 4
-1.50070641321799 "1" 82 4
-1.54942432950595 "1" 82 4
-1.64561585437242 "1" 82 4
-1.51657289488506 "1" 82 4
-1.65962308842572 "1" 82 4
-1.87905196092009 "1" 82 4
1.23528520200585 "2" 82 4
1.6055900551754 "2" 82 4
1.42293199453703 "2" 82 4
1.62355331379198 "2" 82 4
1.76765787686467 "2" 82 4
1.72334555854748 "2" 82 4
1.5304293613189 "2" 82 4
1.40797418159979 "2" 82 4
1.56030065734809 "2" 82 4
1.74419266330433 "2" 82 4
1.39741503428607 "2" 82 4
1.68079989937773 "2" 82 4
1.53110316398183 "2" 82 4
1.32617086783931 "2" 82 4
1.76339792867556 "2" 82 4
-1.38568177981578 "1" 91 5
