"x" "cl" "nbases" ".sample"
"1" 0.694940889390719 "2" 96 1
"2" 1.24953565983144 "2" 96 1
"3" 1.05407843794244 "2" 96 1
"4" 1.0334598801737 "2" 96 1
"5" 1.29543348010063 "2" 96 1
"6" 0.856551664865016 "2" 96 1
"7" 0.858826760549596 "2" 96 1
"8" 1.12058333357016 "2" 96 1
"9" 0.822905846932321 "2" 96 1
"10" 0.943689857149307 "2" 96 1
"11" 1.28713828272967 "2" 96 1
"12" 1.17282426451528 "2" 96 1
"13" 0.987991743272802 "2" 96 1
"14" 0.910090690569779 "2" 96 1
"15" 0.702109036190723 "2" 96 1
"16" -1.45212936059598 "1" 96 1
"17" -1.07066643581819 "1" 96 1
"18" -1.05994317461816 "1" 96 1
"19" -1.03172904290792 "1" 96 1
"20" -0.761526255104118 "1" 96 1
"21" -0.493280729286734 "1" 96 1
"22" -0.964357954364705 "1" 96 1
"23" -1.29098465857377 "1" 96 1
"24" -1.11019300669956 "1" 96 1
"25" -1.08800280079882 "1" 96 1
"26" -1.02111053712986 "1" 96 1
"27" -0.897156832408806 "1" 96 1
"28" -1.22683419893898 "1" 96 1
"29" -0.780843237021884 "1" 96 1
"30" -0.741401603516105 "1" 96 1
"31" 1.17261772910603 "2" 64 2
"32" 1.14888025859636 "2" 64 2
"33" 1.22336715615604 "2" 64 2
"34" 1.34749456053023 "2" 64 2
"35" 0.856819864863447 "2" 64 2
"36" 1.85489350741153 "2" 64 2
"37" 1.3587620403296 "2" 64 2
"38" 1.30423346841711 "2" 64 2
"39" 1.11127253085376 "2" 64 2
"40" 0.784534145010883 "2" 64 2
"41" 1.63300650624445 "2" 64 2
"42" 0.694035358650617 "2" 64 2
"43" 1.13474205604311 "2" 64 2
"44" 1.38190049487512 "2" 64 2
"45" 0.848268564933428 "2" 64 2
"46" -1.64194352607791 "1" 64 2
"47" -1.19922846916773 "1" 64 2
"48" -1.1412086033443 "1" 64 2
"49" -1.1299703379661 "1" 64 2
"50" -0.955732360601142 "1" 64 2
"51" -1.21924007589994 "1" 64 2
"52" -1.65362512000702 "1" 64 2
"53" -1.30716781058957 "1" 64 2
"54" -0.952307273124517 "1" 64 2
"55" -1.30358738027545 "1" 64 2
"56" -1.12768684939583 "1" 64 2
"57" -1.38361209537422 "1" 64 2
"58" -1.0020209081665 "1" 64 2
"59" -0.899027746617761 "1" 64 2
"60" -0.938469685413722 "1" 64 2
"91" 1.69921560621245 "2" 60 3
"92" 1.52852174530449 "2" 60 3
"93" 1.46157902160621 "2" 60 3
"94" 1.60441774233771 "2" 60 3
"95" 1.26030338570579 "2" 60 3
"96" 1.51268999894659 "2" 60 3
"97" 1.42052272788962 "2" 60 3
"98" 1.55419273877417 "2" 60 3
"99" 1.30898525350466 "2" 60 3
"100" 1.44839531124908 "2" 60 3
"101" 1.59833498495037 "2" 60 3
"102" 1.30528232415323 "2" 60 3
"103" 1.52492877049655 "2" 60 3
"104" 1.41750458386123 "2" 60 3
"105" 1.42115622932401 "2" 60 3
"106" -1.66926004801045 "1" 60 3
"107" -1.16810724882933 "1" 60 3
"108" -1.60691731173805 "1" 60 3
"109" -1.63408069957035 "1" 60 3
"110" -1.40730959845638 "1" 60 3
"111" -1.78517953909868 "1" 60 3
"112" -1.34037639668274 "1" 60 3
"113" -1.58089174331143 "1" 60 3
"114" -1.17310475991671 "1" 60 3
"115" -1.24193759308562 "1" 60 3
"116" -1.75558944467168 "1" 60 3
"117" -1.61424294773523 "1" 60 3
"118" -1.4104452409584 "1" 60 3
"119" -1.36227015412614 "1" 60 3
"120" -1.31631769812495 "1" 60 3
"61" -1.36993886860275 "1" 66 4
"62" -1.12418848300238 "1" 66 4
"63" -1.22982401287173 "1" 66 4
"64" -1.20170648423656 "1" 66 4
"65" -1.23710260990058 "1" 66 4
"66" -1.34597813186254 "1" 66 4
"67" -1.09259813969935 "1" 66 4
"68" -1.2877287772258 "1" 66 4
"69" -1.15926201003009 "1" 66 4
"70" -0.918436564712895 "1" 66 4
"71" -1.17804368272051 "1" 66 4
"72" -1.33695482848246 "1" 66 4
"73" -1.17493807403137 "1" 66 4
"74" -1.1662462516751 "1" 66 4
"75" -1.24340294021703 "1" 66 4
"76" 1.22899348445639 "2" 66 4
"77" 0.811609263994743 "2" 66 4
"78" 1.35519561466588 "2" 66 4
"79" 1.30279550454507 "2" 66 4
"80" 1.25973153245361 "2" 66 4
"81" 1.22906043602633 "2" 66 4
"82" 1.21874897750148 "2" 66 4
"83" 1.18814535240355 "2" 66 4
"84" 1.57922141652267 "2" 66 4
"85" 1.19452463238354 "2" 66 4
"86" 0.751791022164445 "2" 66 4
"87" 0.929724561235151 "2" 66 4
"88" 1.29504594177804 "2" 66 4
"89" 1.4118419312784 "2" 66 4
"90" 1.30992018786186 "2" 66 4
